split,month,blocked_trades,blocked_share,solo_trades,solo_avg_r,solo_total_r,solo_profit_factor,solo_max_drawdown_r,solo_win_rate,integrated_trades,integrated_avg_r,integrated_total_r,integrated_profit_factor,integrated_max_drawdown_r,integrated_win_rate
validation,2024-01,2,0.001457,1373,-0.022105,-30.35,0.964021,295.84,0.351784,1371,-0.020678,-28.35,0.966312,295.84,0.352298
validation,2024-02,28,0.03423,818,0.208545,170.59,1.397544,108.66,0.45599,790,0.247329,195.39,1.484706,95.66,0.46962
validation,2024-03,32,0.056738,564,-0.061082,-34.45,0.891578,77.8,0.381206,532,-0.058853,-31.31,0.896204,81.66,0.37782
validation,2024-04,125,0.108038,1157,0.165445,191.42,1.3285,90.29,0.444252,1032,0.245911,253.78,1.503602,83.28,0.475775
validation,2024-05,41,0.060294,680,-0.196074,-133.33,0.67669,201.58,0.342647,639,-0.176729,-112.93,0.706302,183.35,0.350548
validation,2024-06,15,0.01933,776,0.084691,65.72,1.159159,119.52,0.414948,761,0.062365,47.46,1.115779,119.52,0.407359
validation,2024-07,21,0.037634,558,0.438369,244.61,2.304239,55.0,0.589606,537,0.482309,259.0,2.531095,39.61,0.608939
validation,2024-08,10,0.015625,640,0.054328,34.77,1.108456,100.43,0.45,630,0.063952,40.29,1.128067,99.43,0.455556
validation,2024-09,17,0.023977,709,-0.33055,-234.36,0.501478,290.64,0.275035,692,-0.315723,-218.48,0.518883,274.76,0.280347
validation,2024-10,2,0.001998,1001,0.257123,257.38,1.614653,78.54,0.518482,999,0.253634,253.38,1.605101,78.54,0.517518
validation,2024-11,105,0.055321,1898,0.039747,75.44,1.064432,283.61,0.368809,1793,0.065371,117.21,1.107691,262.48,0.378137
validation,2024-12,88,0.070344,1251,0.022094,27.64,1.038569,160.66,0.395683,1163,0.017971,20.9,1.03143,154.26,0.397248
test,2025-01,175,0.098149,1783,-0.067902,-121.07,0.892305,197.59,0.342681,1608,-0.041362,-66.51,0.933535,173.74,0.3551
test,2025-02,21,0.012797,1641,0.057008,93.55,1.100866,197.69,0.393662,1620,0.068858,111.55,1.122924,198.69,0.398148
test,2025-03,12,0.019868,604,0.287748,173.8,1.556623,62.94,0.466887,592,0.304611,180.33,1.596645,60.37,0.472973
test,2025-04,153,0.083698,1828,0.175016,319.93,1.288868,118.38,0.393873,1675,0.207122,346.93,1.348138,118.38,0.404776
test,2025-05,241,0.124099,1942,-0.020865,-40.52,0.967737,185.84,0.340371,1701,-0.020641,-35.11,0.967991,171.31,0.341564
test,2025-06,35,0.044136,793,-0.021602,-17.13,0.966051,110.1,0.349306,758,-0.001385,-1.05,0.997805,110.1,0.356201
test,2025-07,119,0.080081,1486,0.234522,348.5,1.437765,85.71,0.444818,1367,0.271346,370.93,1.518892,83.11,0.457937
test,2025-08,80,0.053908,1484,-0.062008,-92.02,0.904353,249.54,0.34097,1404,-0.011553,-16.22,0.981684,209.41,0.359687
test,2025-09,98,0.086344,1135,0.191648,217.52,1.36237,135.0,0.443172,1037,0.237319,246.1,1.46498,135.0,0.459981
test,2025-10,127,0.085637,1483,0.299258,443.8,1.649524,86.92,0.498989,1356,0.255649,346.66,1.529745,86.92,0.482301
test,2025-11,70,0.064576,1084,0.159197,172.57,1.306846,101.57,0.448339,1014,0.207554,210.46,1.415625,98.77,0.466469
test,2025-12,2,0.004566,438,0.099132,43.42,1.195568,64.13,0.447489,436,0.094771,41.32,1.186109,64.13,0.444954
test,2026-01,13,0.011775,1104,0.047373,52.3,1.078959,145.87,0.368659,1091,0.059853,65.3,1.100559,143.87,0.373052
test,2026-02,73,0.064148,1138,-0.012223,-13.91,0.977251,94.09,0.391916,1065,0.007643,8.14,1.014513,94.09,0.4
test,2026-03,160,0.102236,1565,0.195444,305.87,1.346265,80.22,0.425559,1405,0.255573,359.08,1.469902,79.22,0.445552
test,2026-04,0,0.0,459,-0.057211,-26.26,0.900311,93.66,0.342048,459,-0.057211,-26.26,0.900311,93.66,0.342048
