split,quarter,blocked_trades,blocked_share,solo_trades,solo_avg_r,solo_total_r,solo_profit_factor,solo_max_drawdown_r,solo_win_rate,integrated_trades,integrated_avg_r,integrated_total_r,integrated_profit_factor,integrated_max_drawdown_r,integrated_win_rate
validation,2024Q1,62,0.022505,2755,0.038399,105.79,1.066518,295.84,0.388748,2693,0.050401,135.73,1.087777,295.84,0.391756
validation,2024Q2,181,0.069269,2613,0.047382,123.81,1.087932,270.64,0.409108,2432,0.07743,188.31,1.145037,252.41,0.421464
validation,2024Q3,48,0.02517,1907,0.023608,45.02,1.046021,290.64,0.4258,1859,0.04347,80.81,1.086163,274.76,0.434642
validation,2024Q4,195,0.046988,4150,0.086858,360.46,1.1563,283.61,0.413012,3955,0.098986,391.49,1.180236,262.48,0.418963
test,2025Q1,208,0.051639,4028,0.036316,146.28,1.061881,197.69,0.382075,3820,0.058997,225.37,1.10196,198.69,0.391623
test,2025Q2,429,0.094017,4563,0.05748,262.28,1.09145,266.14,0.363357,4134,0.075174,310.77,1.120837,240.14,0.36986
test,2025Q3,297,0.072351,4105,0.115469,474.0,1.20098,255.74,0.406821,3808,0.157776,600.81,1.282113,215.61,0.422269
test,2025Q4,199,0.066223,3005,0.219564,659.79,1.449543,101.57,0.473211,2806,0.213272,598.44,1.43278,98.77,0.470777
test,2026Q1,246,0.064618,3807,0.090428,344.26,1.159589,145.87,0.399002,3561,0.12146,432.52,1.219064,143.87,0.409716
test,2026Q2,0,0.0,459,-0.057211,-26.26,0.900311,93.66,0.342048,459,-0.057211,-26.26,0.900311,93.66,0.342048
