dataset,friday_segment,trades,tp,sl,be,win_rate,profit_factor,net,avg_r_or_pnl,max_drawdown,worst_loss_streak,best_win_streak,fast_reentries_3h_same_direction,avg_spread_pips
live_demo_organic_normalized_usd,london,1,0,0,1,,,0.0,0.0,0.0,0,0,0,0.2
live_demo_organic_normalized_usd,overlap,5,2,3,0,0.4,1.3333,500.0,100.0,1500.0,3,1,3,0.28
live_demo_organic_normalized_usd,new_york,5,0,4,0,0.0,0.0,-2000.0,-400.0,2000.0,2,0,3,0.42
live_demo_organic_normalized_usd,friday_late_after_10co,1,0,1,0,0.0,0.0,-500.0,-500.0,500.0,1,0,0,1.0
live_demo_organic_normalized_usd,friday_late_after_12co,0,0,0,0,,,0,,0.0,0,0,0,
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,london,30,23,7,0,0.7667,4.145,28.372835,0.945761,2.548461,2,11,7,
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,overlap,15,10,5,0,0.6667,2.5488,10.240262,0.682684,2.643583,2,4,5,
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,new_york,34,20,14,0,0.5882,1.8308,15.213808,0.447465,7.516361,5,10,13,
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,friday_late_after_10co,0,0,0,0,,,0,,0.0,0,0,0,
artifacts/ceo_magi_v3/stress_months_trade_detail.csv,friday_late_after_12co,34,20,14,0,0.5882,1.8308,15.213808,0.447465,7.516361,5,10,13,
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,london,330,241,89,0,0.7303,3.709,277.579654,0.84115,4.71507,5,16,55,
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,overlap,200,143,57,0,0.715,3.3697,169.809511,0.849048,4.04576,3,11,26,
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,new_york,382,293,89,0,0.767,4.3706,354.640554,0.928378,7.516361,5,30,58,
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,friday_late_after_10co,0,0,0,0,,,0,,0.0,0,0,0,
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,friday_late_after_12co,382,293,89,0,0.767,4.3706,354.640554,0.928378,7.516361,5,30,58,
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,london,4,4,0,0,1.0,,4.710858,1.177714,0.0,0,4,0,
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,overlap,4,3,1,0,0.75,3.5392,3.654289,0.913572,1.439166,1,3,0,
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,new_york,9,6,3,0,0.6667,3.6357,6.324325,0.702703,1.627228,2,3,0,
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,friday_late_after_10co,0,0,0,0,,,0,,0.0,0,0,0,
artifacts/ceo_magi_v3/random_3_months_trade_audit.csv,friday_late_after_12co,9,6,3,0,0.6667,3.6357,6.324325,0.702703,1.627228,2,3,0,
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,london,526,331,195,0,0.6293,3.1852,409.25,0.778042,5.18,4,8,130,0.2914
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,overlap,339,191,147,0,0.5651,2.6306,233.42,0.688555,7.0,7,8,82,0.3053
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,new_york,673,396,277,0,0.5884,2.7296,462.79,0.687652,7.0,7,10,193,0.3092
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,friday_late_after_10co,0,0,0,0,,,0,,0.0,0,0,0,
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,friday_late_after_12co,673,396,277,0,0.5884,2.7296,462.79,0.687652,7.0,7,10,193,0.3092
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,london,473,207,266,0,0.4376,1.4334,104.33,0.220571,62.77,34,34,0,
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,overlap,477,155,322,0,0.3249,0.9235,-24.18,-0.050692,130.35,63,19,0,
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,new_york,384,186,198,0,0.4844,1.7808,150.6,0.392187,34.11,24,25,0,
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,friday_late_after_10co,0,0,0,0,,,0,,0.0,0,0,0,
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,friday_late_after_12co,384,186,198,0,0.4844,1.7808,150.6,0.392187,34.11,24,25,0,
